Event	ID	Name			Wwise Object Path	Notes
	1259976303	SFX_Socket_Click			\Default Work Unit\SFX_Socket_Click	
	1514860704	SFX_Door_Open			\Default Work Unit\SFX_Door_Open	
	1589289402	AMB_Start			\Default Work Unit\AMB_Start	
	1973954843	MUS_Start			\Default Work Unit\MUS_Start	
	2163476404	UI_Menu_Hover			\Default Work Unit\UI_Menu_Hover	
	2545363202	SFX_Sequence_Success			\Default Work Unit\SFX_Sequence_Success	
	3142221492	SFX_Robot_Squeek			\Default Work Unit\SFX_Robot_Squeek	
	3149643052	MUS_Menu			\Default Work Unit\MUS_Menu	
	3276262396	SFX_Robot_Grab			\Default Work Unit\SFX_Robot_Grab	
	3474566310	UI_Menu_Select			\Default Work Unit\UI_Menu_Select	
	4034802668	SFX_Robot_Impact			\Default Work Unit\SFX_Robot_Impact	
	4120497912	SFX_Robot_Jetpack			\Default Work Unit\SFX_Robot_Jetpack	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	49764070	SFX_Robot_Jetpack05	C:\Users\jeang\Documents\biopunchteam\SpaceMatch\SpaceMatch_WwiseProject\.cache\Windows\SFX\SFX_Robot_Jetpack05_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_SpaceMatch\SFX_Robot_Jetpack\SFX_Robot_Jetpack05		147052
	80248575	SFX_Fuse_Moteur01	C:\Users\jeang\Documents\biopunchteam\SpaceMatch\SpaceMatch_WwiseProject\.cache\Windows\SFX\SFX_Fuse_Moteur01_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_SpaceMatch\SFX_Socket_Click\SFX_Socket_Moteur\SFX_Fuse_Moteur01		22972
	82142008	SFX_Impact_Damage04	C:\Users\jeang\Documents\biopunchteam\SpaceMatch\SpaceMatch_WwiseProject\.cache\Windows\SFX\SFX_Impact_Damage04_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_SpaceMatch\SFX_Robot_Impact\SFX_Impact_Damage\SFX_Impact_Damage04		176464
	105368025	SFX_Impact_Damage03	C:\Users\jeang\Documents\biopunchteam\SpaceMatch\SpaceMatch_WwiseProject\.cache\Windows\SFX\SFX_Impact_Damage03_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_SpaceMatch\SFX_Robot_Impact\SFX_Impact_Damage\SFX_Impact_Damage03		176464
	113305347	SFX_Robot_Jetpack01	C:\Users\jeang\Documents\biopunchteam\SpaceMatch\SpaceMatch_WwiseProject\.cache\Windows\SFX\SFX_Robot_Jetpack01_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_SpaceMatch\SFX_Robot_Jetpack\SFX_Robot_Jetpack01		137208
	115764605	SFX_Robot_Grab04	C:\Users\jeang\Documents\biopunchteam\SpaceMatch\SpaceMatch_WwiseProject\.cache\Windows\SFX\SFX_Robot_Grab04_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_SpaceMatch\SFX_Robot_Grab\SFX_Robot_Grab04		24792
	132127449	SFX_Impact_Metal01	C:\Users\jeang\Documents\biopunchteam\SpaceMatch\SpaceMatch_WwiseProject\.cache\Windows\SFX\SFX_Impact_Metal01_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_SpaceMatch\SFX_Robot_Impact\SFX_Impact_Metal\SFX_Impact_Metal01		33898
	179427019	SFX_Robot_Jetpack04	C:\Users\jeang\Documents\biopunchteam\SpaceMatch\SpaceMatch_WwiseProject\.cache\Windows\SFX\SFX_Robot_Jetpack04_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_SpaceMatch\SFX_Robot_Jetpack\SFX_Robot_Jetpack04		132214
	181415141	SFX_Impact_Damage05	C:\Users\jeang\Documents\biopunchteam\SpaceMatch\SpaceMatch_WwiseProject\.cache\Windows\SFX\SFX_Impact_Damage05_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_SpaceMatch\SFX_Robot_Impact\SFX_Impact_Damage\SFX_Impact_Damage05		176464
	191361511	MUS_SpaceMatch_Level	C:\Users\jeang\Documents\biopunchteam\SpaceMatch\SpaceMatch_WwiseProject\.cache\Windows\SFX\MUS_SpaceMatch_Level_F17FB28C.wem		\Interactive Music Hierarchy\Default Work Unit\MUS_SpaceMatch_Level\MUS_SpaceMatch_Level\MUS_SpaceMatch_Level		27271504
	212796211	SFX_Impact_Damage02	C:\Users\jeang\Documents\biopunchteam\SpaceMatch\SpaceMatch_WwiseProject\.cache\Windows\SFX\SFX_Impact_Damage02_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_SpaceMatch\SFX_Robot_Impact\SFX_Impact_Damage\SFX_Impact_Damage02		176464
	226231086	SFX_Impact_Metal05	C:\Users\jeang\Documents\biopunchteam\SpaceMatch\SpaceMatch_WwiseProject\.cache\Windows\SFX\SFX_Impact_Metal05_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_SpaceMatch\SFX_Robot_Impact\SFX_Impact_Metal\SFX_Impact_Metal05		55102
	242100870	SFX_Robot_Grab02	C:\Users\jeang\Documents\biopunchteam\SpaceMatch\SpaceMatch_WwiseProject\.cache\Windows\SFX\SFX_Robot_Grab02_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_SpaceMatch\SFX_Robot_Grab\SFX_Robot_Grab02		21944
	242214880	SFX_Fuse_Moteur02	C:\Users\jeang\Documents\biopunchteam\SpaceMatch\SpaceMatch_WwiseProject\.cache\Windows\SFX\SFX_Fuse_Moteur02_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_SpaceMatch\SFX_Socket_Click\SFX_Socket_Moteur\SFX_Fuse_Moteur02		24872
	250753751	SFX_Impact_RobotCry01	C:\Users\jeang\Documents\biopunchteam\SpaceMatch\SpaceMatch_WwiseProject\.cache\Windows\SFX\SFX_Impact_RobotCry01_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_SpaceMatch\SFX_Robot_Impact\SFX_Impact_RobotCry\SFX_Impact_RobotCry01		168336
	254301151	AMB_Sci-fi_Loop	C:\Users\jeang\Documents\biopunchteam\SpaceMatch\SpaceMatch_WwiseProject\.cache\Windows\SFX\AMB_Sci-fi_Loop_F17FB28C.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMB_Sci-fi_Spaceship\AMB_Sci-fi_Spaceship\AMB_Sci-fi_Loop		5997664
	277159977	SFX_Impact_Metal04	C:\Users\jeang\Documents\biopunchteam\SpaceMatch\SpaceMatch_WwiseProject\.cache\Windows\SFX\SFX_Impact_Metal04_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_SpaceMatch\SFX_Robot_Impact\SFX_Impact_Metal\SFX_Impact_Metal04		48560
	337259787	SFX_Robot_Jetpack06	C:\Users\jeang\Documents\biopunchteam\SpaceMatch\SpaceMatch_WwiseProject\.cache\Windows\SFX\SFX_Robot_Jetpack06_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_SpaceMatch\SFX_Robot_Jetpack\SFX_Robot_Jetpack06		134508
	360925429	SFX_Robot_Jetpack03	C:\Users\jeang\Documents\biopunchteam\SpaceMatch\SpaceMatch_WwiseProject\.cache\Windows\SFX\SFX_Robot_Jetpack03_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_SpaceMatch\SFX_Robot_Jetpack\SFX_Robot_Jetpack03		132512
	385222031	SFX_Robot_Grab05	C:\Users\jeang\Documents\biopunchteam\SpaceMatch\SpaceMatch_WwiseProject\.cache\Windows\SFX\SFX_Robot_Grab05_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_SpaceMatch\SFX_Robot_Grab\SFX_Robot_Grab05		31938
	435030486	SFX_Robot_Squeek02	C:\Users\jeang\Documents\biopunchteam\SpaceMatch\SpaceMatch_WwiseProject\.cache\Windows\SFX\SFX_Robot_Squeek02_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_SpaceMatch\SFX_Robot_Squeek\SFX_Robot_Squeek02		65892
	444794066	SFX_Impact_RobotCry04	C:\Users\jeang\Documents\biopunchteam\SpaceMatch\SpaceMatch_WwiseProject\.cache\Windows\SFX\SFX_Impact_RobotCry04_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_SpaceMatch\SFX_Robot_Impact\SFX_Impact_RobotCry\SFX_Impact_RobotCry04		180716
	501309852	UI_Menu_Select	C:\Users\jeang\Documents\biopunchteam\SpaceMatch\SpaceMatch_WwiseProject\.cache\Windows\SFX\UI_Menu_Select_3DDA1A2A.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI_Menu\UI_Menu_Select		33758
	514351473	SFX_Robot_Squeek06	C:\Users\jeang\Documents\biopunchteam\SpaceMatch\SpaceMatch_WwiseProject\.cache\Windows\SFX\SFX_Robot_Squeek06_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_SpaceMatch\SFX_Robot_Squeek\SFX_Robot_Squeek06		163212
	541695931	SFX_Fuse_Click01	C:\Users\jeang\Documents\biopunchteam\SpaceMatch\SpaceMatch_WwiseProject\.cache\Windows\SFX\SFX_Fuse_Click01_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_SpaceMatch\SFX_Socket_Click\SFX_Socket_Click\SFX_Fuse_Click01		14422
	552279903	SFX_Robot_Jetpack02	C:\Users\jeang\Documents\biopunchteam\SpaceMatch\SpaceMatch_WwiseProject\.cache\Windows\SFX\SFX_Robot_Jetpack02_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_SpaceMatch\SFX_Robot_Jetpack\SFX_Robot_Jetpack02		136110
	571691479	UI_Menu_Hover	C:\Users\jeang\Documents\biopunchteam\SpaceMatch\SpaceMatch_WwiseProject\.cache\Windows\SFX\UI_Menu_Hover_3744530C.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI_Menu\UI_Menu_Hover		51346
